lat,long,temp,cloudiness,cloudiness_perct,humidity,wind_speed,city,country
-8.77,160.7,29.12,moderate rain,85,75,1.44,auki,SB
59.7,30.79,7.27,clear sky,0,61,11.0,nikolskoye,RU
69.38,178.42,-0.91,overcast clouds,100,98,10.95,leningradskiy,RU
18.22,-63.06,26.78,few clouds,20,78,4.1,the valley,AI
60.75,-137.51,-24.0,broken clouds,67,83,1.0,haines junction,CA
73.51,80.55,-18.25,clear sky,0,91,1.48,dikson,RU
66.83,70.83,-6.08,snow,100,98,7.36,yar-sale,RU
31.21,16.59,20.62,clear sky,1,64,4.82,surt,LY
4.17,73.51,29.0,few clouds,20,83,1.0,male,MV
42.86,131.38,13.43,overcast clouds,100,51,3.74,slavyanka,RU
50.7,-127.42,5.16,scattered clouds,40,100,1.5,port hardy,CA
69.22,-51.1,-8.0,light shower snow,100,72,2.6,ilulissat,GL
18.03,73.02,25.33,clear sky,0,53,2.65,srivardhan,IN
66.77,123.37,-20.7,overcast clouds,96,91,2.14,zhigansk,RU
-25.17,45.05,20.98,overcast clouds,100,77,0.65,beloha,MG
22.89,-109.91,25.74,clear sky,5,65,3.1,cabo san lucas,MX
-33.87,121.9,17.0,scattered clouds,40,59,5.7,esperance,AU
60.14,-45.24,-1.35,clear sky,0,84,15.75,nanortalik,GL
46.71,-80.92,5.25,few clouds,20,93,2.1,capreol,CA
-22.43,-151.33,25.23,moderate rain,100,80,7.65,moerai,PF
50.68,156.12,2.45,overcast clouds,92,80,11.35,severo-kurilsk,RU
56.47,73.61,0.49,overcast clouds,100,95,3.91,kolosovka,RU
5.38,-52.95,24.92,overcast clouds,91,84,2.25,sinnamary,GF
-34.0,24.73,18.89,overcast clouds,94,88,0.89,kruisfontein,ZA
-20.34,57.76,23.69,shower rain,75,78,4.1,bambous virieux,MU
-6.22,-57.75,23.97,light rain,88,86,1.17,jacareacanga,BR
13.21,12.02,23.13,overcast clouds,87,27,4.92,maine-soroa,NE
40.9,40.89,3.78,overcast clouds,100,100,1.35,rize,TR
8.89,-64.25,24.27,clear sky,1,84,4.58,el tigre,VE
37.06,-97.04,12.75,clear sky,1,76,2.14,arkansas city,US
42.1,-79.24,14.11,clear sky,1,50,4.1,jamestown,US
38.52,-28.7,15.8,broken clouds,51,65,6.84,ribeira grande,PT
-9.11,124.89,31.77,scattered clouds,30,43,1.18,atambua,ID
65.7,82.47,-19.42,broken clouds,63,90,4.42,krasnoselkup,RU
22.07,78.93,21.32,clear sky,0,37,2.64,chhindwara,IN
53.41,24.54,8.09,overcast clouds,100,85,6.53,masty,BY
56.83,30.15,7.01,clear sky,8,86,5.51,loknya,RU
54.01,33.96,7.1,overcast clouds,100,87,6.18,betlitsa,RU
32.67,-17.1,13.9,scattered clouds,40,63,2.1,ponta do sol,PT
-32.03,-52.1,16.67,clear sky,2,94,6.36,rio grande,BR
26.33,43.98,17.0,clear sky,0,26,3.6,buraydah,SA
71.69,128.87,-12.59,overcast clouds,100,96,1.65,tiksi,RU
-15.1,23.14,21.89,broken clouds,78,64,1.48,limulunga,ZM
-33.93,18.42,16.26,light rain,75,82,9.3,cape town,ZA
29.27,82.18,12.51,clear sky,0,31,0.09,jumla,NP
62.67,131.17,-16.46,overcast clouds,100,90,0.83,borogontsy,RU
5.35,48.53,26.37,scattered clouds,37,80,3.78,hobyo,SO
0.52,25.2,21.17,light rain,100,98,1.46,kisangani,CD
33.19,-82.53,14.73,clear sky,1,87,2.6,avera,US
1.74,98.78,30.13,overcast clouds,92,58,1.29,sibolga,ID
18.28,95.32,27.47,clear sky,0,83,3.82,myanaung,MM
-45.58,-72.07,9.0,overcast clouds,90,76,1.5,coihaique,CL
7.93,1.98,25.42,overcast clouds,98,80,1.34,savalou,BJ
-20.32,118.57,37.0,clear sky,0,29,4.6,port hedland,AU
18.09,-15.98,22.0,clear sky,0,88,2.1,nouakchott,MR
-5.79,-35.21,25.52,scattered clouds,40,83,3.6,natal,BR
30.48,-115.95,20.63,overcast clouds,100,58,2.07,san quintin,MX
-33.7,-53.46,13.67,few clouds,11,93,2.51,chuy,UY
-8.93,125.41,27.53,broken clouds,63,38,2.8,airai,TL
63.92,127.47,-15.89,overcast clouds,100,93,1.76,sangar,RU
47.65,53.35,4.29,clear sky,0,70,5.41,makat,KZ
60.92,-46.05,-9.0,clear sky,0,43,2.6,narsaq,GL
-19.06,-169.92,26.0,broken clouds,75,69,8.2,alofi,NU
61.6,5.03,10.0,overcast clouds,100,93,6.2,floro,NO
35.13,140.3,17.36,broken clouds,75,59,2.6,katsuura,JP
57.79,-152.41,3.0,overcast clouds,90,40,2.1,kodiak,US
6.84,101.18,28.73,broken clouds,83,72,0.77,nong chik,TH
40.6,-124.16,14.23,few clouds,20,100,2.6,fortuna,US
-3.24,35.49,12.41,overcast clouds,96,100,2.76,ngorongoro,TZ
43.2,140.77,15.76,broken clouds,75,51,5.1,yoichi,JP
46.98,-123.89,8.92,overcast clouds,90,93,3.6,hoquiam,US
63.64,54.86,2.0,overcast clouds,99,94,3.64,nizhniy odes,RU
10.57,72.64,28.37,clear sky,0,73,2.6,kavaratti,IN
17.48,103.46,28.59,few clouds,13,59,4.03,sawang daen din,TH
-10.41,-36.43,24.89,clear sky,0,87,5.2,piacabucu,BR
-12.04,-77.03,17.89,overcast clouds,90,77,5.1,lima,PE
69.49,88.4,-19.0,clear sky,0,84,2.0,talnakh,RU
38.89,-76.51,12.76,clear sky,1,100,2.85,mayo,US
23.03,91.51,22.66,clear sky,0,65,3.0,chhagalnaiya,BD
-2.57,150.8,28.31,light rain,100,77,4.48,kavieng,PG
70.63,147.92,-15.44,overcast clouds,94,95,4.14,chokurdakh,RU
51.32,42.77,6.67,overcast clouds,87,95,4.6,kamenka,RU
43.21,-75.46,10.83,clear sky,1,57,1.6,roma,US
-31.43,152.92,22.21,broken clouds,56,41,1.79,port macquarie,AU
9.49,50.81,22.63,clear sky,7,69,3.29,bandarbeyla,SO
18.73,-103.68,24.58,scattered clouds,36,84,1.05,coahuayana,MX
-3.8,102.27,29.51,overcast clouds,97,64,1.09,bengkulu,ID
-28.55,16.43,15.89,overcast clouds,95,80,1.69,oranjemund,NA
-38.27,141.97,13.78,broken clouds,71,69,7.63,codrington,AU
-30.89,-55.53,13.09,clear sky,3,92,3.45,santana do livramento,BR
6.37,126.17,27.94,overcast clouds,100,75,2.87,pundaguitan,PH
68.75,161.3,-3.76,overcast clouds,100,93,11.08,cherskiy,RU
33.73,135.98,18.0,light rain,75,63,1.0,shingu,JP
38.93,100.45,6.53,clear sky,0,52,2.16,zhangye,CN
65.58,-171.0,1.81,overcast clouds,100,94,10.64,lavrentiya,RU
51.68,94.73,-0.63,broken clouds,77,89,4.06,kaa-khem,RU
65.28,-126.83,-25.0,few clouds,20,75,2.1,norman wells,CA
20.93,-17.03,19.0,broken clouds,63,88,2.6,nouadhibou,MR
19.73,-155.09,25.61,clear sky,1,54,4.6,hilo,US
64.38,-173.3,5.0,light rain,90,80,12.0,provideniya,RU
68.05,39.51,2.87,light rain,100,92,1.72,ostrovnoy,RU
-37.62,-73.65,10.48,clear sky,0,80,9.87,lebu,CL
-7.16,-78.5,11.4,scattered clouds,27,61,0.27,cajamarca,PE
37.78,-121.98,18.14,clear sky,1,42,2.1,san ramon,US
48.69,43.53,5.77,overcast clouds,90,93,4.0,kalach-na-donu,RU
43.67,-7.41,13.33,overcast clouds,100,74,1.34,cervo,ES
68.35,-133.72,-16.51,overcast clouds,85,77,3.6,inuvik,CA
7.19,8.13,22.93,overcast clouds,100,83,1.51,otukpo,NG
-45.87,-67.5,15.0,scattered clouds,40,67,5.1,comodoro rivadavia,AR
11.67,92.75,28.9,clear sky,8,70,4.45,port blair,IN
47.97,80.44,2.62,few clouds,12,63,2.77,ayagoz,KZ
61.4,47.5,3.7,light rain,100,92,4.45,kharitonovo,RU
29.03,21.55,16.26,clear sky,9,91,3.62,jalu,LY
69.65,18.96,3.48,broken clouds,75,86,12.3,tromso,NO
