lat,long,temp,cloudiness,cloudiness_perct,humidity,wind_speed,city,country
-2.63,-56.74,24.39,moderate rain,100,92,1.17,parintins,BR
-16.7,-151.02,27.16,clear sky,1,79,8.06,fare,PF
46.43,26.4,6.11,broken clouds,60,83,0.67,asau,RO
50.2,-66.38,-1.28,overcast clouds,94,91,1.0,sept-iles,CA
47.57,-59.14,7.59,overcast clouds,100,87,11.38,channel-port aux basques,CA
-2.01,-54.07,24.28,heavy intensity rain,100,95,2.57,monte alegre,BR
32.65,-17.07,13.86,scattered clouds,40,63,2.1,ribeira brava,PT
-19.55,169.27,31.0,broken clouds,75,74,2.6,isangel,VU
51.05,142.27,0.3,clear sky,0,80,7.14,mgachi,RU
61.03,76.11,0.0,light intensity drizzle,90,95,6.0,megion,RU
21.83,106.73,25.54,clear sky,6,61,2.29,lang son,VN
62.69,25.82,5.0,clear sky,0,73,6.2,aanekoski,FI
10.37,10.73,24.79,overcast clouds,100,27,4.15,bara,NG
52.47,96.11,-1.86,overcast clouds,99,92,6.44,toora-khem,RU
8.08,22.4,19.96,broken clouds,65,60,0.82,ouadda,CF
51.66,103.71,1.97,overcast clouds,88,76,5.17,slyudyanka,RU
18.04,-88.66,23.41,light rain,98,97,3.74,san lazaro,BZ
59.36,24.05,7.8,clear sky,1,91,3.58,paldiski,EE
42.03,-8.16,12.78,broken clouds,70,84,0.45,vila,PT
-42.91,147.35,14.43,broken clouds,75,48,6.7,sandy bay,AU
44.18,-77.37,12.8,overcast clouds,90,76,3.1,belleville,CA
8.46,36.35,11.05,broken clouds,51,100,0.55,bedele,ET
31.42,130.32,20.0,light rain,75,72,2.6,kaseda,JP
6.46,-2.32,22.07,light rain,87,99,0.62,bibiani,GH
-8.14,159.59,29.55,light rain,76,64,1.48,buala,SB
65.98,60.31,1.87,light rain,100,97,5.97,verkhnyaya inta,RU
41.52,0.35,12.85,few clouds,20,93,9.8,fraga,ES
-9.88,-56.09,24.21,overcast clouds,100,68,0.94,alta floresta,BR
51.1,66.32,4.03,overcast clouds,91,67,4.98,derzhavinsk,KZ
57.05,-135.33,1.0,few clouds,20,50,2.26,sitka,US
41.37,-73.41,11.57,clear sky,1,87,2.1,bethel,US
46.68,113.28,1.17,clear sky,0,69,8.13,baruun-urt,MN
65.42,-52.9,-6.94,light snow,99,95,5.66,maniitsoq,GL
65.75,150.85,-15.41,light snow,100,92,13.5,zyryanka,RU
31.61,34.76,15.74,light rain,72,80,0.89,gat,IL
26.18,127.76,27.7,mist,90,100,4.1,nishihara,JP
-9.09,-78.58,15.44,clear sky,0,90,2.79,chimbote,PE
-17.74,-48.62,20.11,clear sky,0,51,0.76,caldas novas,BR
-20.78,117.13,38.22,clear sky,0,17,5.71,roebourne,AU
-5.15,-38.1,24.43,clear sky,1,75,3.17,limoeiro do norte,BR
70.47,-68.59,-19.0,clear sky,1,64,8.7,clyde river,CA
22.79,100.97,21.33,scattered clouds,49,79,0.88,simao,CN
38.5,102.17,6.99,clear sky,0,49,1.0,jinchang,CN
65.53,72.52,-1.41,overcast clouds,100,99,8.43,nadym,RU
42.92,143.2,16.0,broken clouds,75,29,3.6,obihiro,JP
-43.3,-65.1,16.89,clear sky,0,35,4.52,rawson,AR
9.7,10.27,23.72,scattered clouds,30,36,2.36,yuli,NG
51.39,109.87,-2.09,overcast clouds,100,92,6.38,bada,RU
25.15,76.3,21.51,clear sky,0,24,1.65,anta,IN
34.41,-119.86,19.82,clear sky,1,72,1.69,isla vista,US
-28.87,153.57,23.79,clear sky,0,56,9.3,ballina,AU
-20.33,-40.29,23.0,overcast clouds,90,88,2.6,vila velha,BR
62.53,155.8,-22.01,overcast clouds,100,86,2.32,omsukchan,RU
41.82,140.65,15.0,broken clouds,75,58,3.6,kamiiso,JP
48.29,17.27,3.15,clear sky,0,80,3.6,pezinok,SK
-10.54,32.08,17.08,overcast clouds,89,57,0.76,chinsali,ZM
48.13,-78.13,4.11,few clouds,20,93,2.6,malartic,CA
-17.8,-63.17,25.0,smoke,37,57,3.1,santa cruz,BO
-23.86,35.38,23.62,light rain,100,88,2.13,inhambane,MZ
48.97,2.35,3.99,clear sky,0,86,4.1,montmagny,FR
55.75,37.62,6.57,moderate rain,90,93,7.0,moscow,RU
29.5,-98.62,18.52,clear sky,1,63,1.36,leon valley,US
-8.84,-69.26,25.76,overcast clouds,100,73,1.46,manoel urbano,BR
-16.73,-151.43,27.18,few clouds,24,78,8.6,uturoa,PF
-34.73,135.87,13.78,overcast clouds,99,55,3.72,port lincoln,AU
35.25,-91.74,11.76,clear sky,1,87,1.33,searcy,US
28.42,30.78,14.31,clear sky,0,84,2.36,matay,EG
19.75,10.25,17.3,few clouds,19,30,4.44,agadez,NE
19.33,-72.12,22.61,overcast clouds,100,83,0.89,pignon,HT
29.85,-90.11,18.42,broken clouds,75,93,2.1,estelle,US
-35.33,-72.42,11.84,clear sky,0,75,4.61,constitucion,CL
48.65,-53.11,1.52,broken clouds,55,80,5.1,bonavista,CA
-15.43,-74.62,18.5,scattered clouds,49,60,1.32,acari,PE
0.13,117.5,29.57,heavy intensity rain,100,63,2.12,bontang,ID
24.09,32.91,17.58,clear sky,0,67,3.92,aswan,EG
67.67,12.69,6.6,overcast clouds,100,83,13.45,sorland,NO
-5.2,-35.46,25.0,few clouds,20,88,2.1,touros,BR
33.98,51.44,10.66,overcast clouds,99,43,0.74,kashan,IR
61.0,24.46,6.52,clear sky,0,65,5.7,hameenlinna,FI
53.94,139.92,-4.65,overcast clouds,96,90,9.53,mnogovershinnyy,RU
1.55,110.33,29.0,few clouds,20,79,1.0,kuching,MY
-42.72,170.97,15.56,overcast clouds,100,94,1.07,hokitika,NZ
50.28,57.21,0.0,clear sky,0,54,4.17,aqtobe,KZ
44.45,15.06,15.0,clear sky,0,54,6.7,pag,HR
40.43,71.72,3.0,clear sky,0,37,3.1,komsomolskiy,UZ
70.24,22.35,3.92,light rain,75,80,5.1,oksfjord,NO
-41.41,175.52,14.1,overcast clouds,98,87,5.1,waipawa,NZ
46.38,-75.97,10.0,overcast clouds,100,76,1.0,maniwaki,CA
70.37,31.11,4.89,broken clouds,75,81,7.62,vardo,NO
43.41,-124.22,14.39,overcast clouds,90,100,6.2,north bend,US
4.14,96.13,28.99,clear sky,4,69,1.8,meulaboh,ID
-6.13,12.37,25.6,moderate rain,100,86,3.93,soyo,AO
-8.84,13.23,26.0,broken clouds,75,78,2.6,luanda,AO
-23.94,31.14,19.0,overcast clouds,100,88,3.6,phalaborwa,ZA
53.88,67.42,4.29,overcast clouds,91,86,5.79,sergeyevka,KZ
51.5,58.19,8.0,clear sky,0,61,4.0,novorudnyy,RU
-2.02,147.27,27.72,light rain,97,76,1.39,lorengau,PG
-3.87,30.1,15.73,overcast clouds,90,94,0.58,rutana,BI
-7.47,-34.81,25.0,scattered clouds,40,88,2.1,pitimbu,BR
66.15,-65.71,-13.06,overcast clouds,100,73,3.57,pangnirtung,CA
37.72,-25.43,16.0,scattered clouds,40,77,5.1,vila franca do campo,PT
-26.79,-60.44,17.62,clear sky,0,48,3.48,presidencia roque saenz pena,AR
-13.7,-76.22,17.09,clear sky,0,88,4.1,pisco,PE
21.35,-158.09,27.7,few clouds,20,69,4.6,makakilo city,US
31.67,34.57,17.07,few clouds,20,77,3.1,ashqelon,IL
15.86,100.59,29.74,clear sky,1,69,1.38,nong bua,TH
8.62,-70.21,22.99,scattered clouds,38,92,1.33,barinas,VE
33.85,-118.05,25.36,clear sky,1,26,1.32,la palma,US
34.17,77.58,-1.53,broken clouds,57,73,0.53,leh,IN
-6.84,-79.93,16.08,clear sky,0,87,4.36,pimentel,PE
25.52,90.22,21.54,clear sky,0,57,0.86,tura,IN
64.18,-51.72,-7.0,broken clouds,54,73,3.6,nuuk,GL
-8.38,-74.55,28.0,broken clouds,75,83,1.0,pucallpa,PE
-6.22,155.63,29.86,light rain,95,66,1.7,kieta,PG
47.91,106.88,1.0,few clouds,20,40,6.0,ulaanbaatar,MN
62.67,135.6,-17.64,overcast clouds,99,88,1.26,khandyga,RU
36.73,-91.85,14.26,clear sky,1,63,2.1,west plains,US
-4.98,12.93,23.02,light rain,100,95,0.1,tshela,CD
-23.04,29.9,18.25,broken clouds,84,93,1.15,louis trichardt,ZA
58.35,11.94,11.67,clear sky,0,86,4.02,uddevalla,SE
-12.23,136.77,33.0,few clouds,20,52,5.1,nhulunbuy,AU
6.19,-67.49,25.95,light rain,94,86,0.93,puerto carreno,CO
63.84,-22.43,5.0,shower rain,75,56,15.9,grindavik,IS
37.35,-108.59,8.14,clear sky,1,45,4.1,cortez,US
-3.75,103.64,30.5,heavy intensity rain,100,58,1.74,payo,ID
29.97,40.21,15.0,clear sky,0,67,2.6,sakakah,SA
69.3,139.9,-21.46,overcast clouds,97,93,0.63,deputatskiy,RU
-0.12,-51.29,25.0,moderate rain,90,100,0.5,mazagao,BR
-12.5,131.05,34.93,clear sky,0,46,3.1,howard springs,AU
-27.18,151.27,24.0,clear sky,0,31,3.1,dalby,AU
56.67,96.06,-7.12,overcast clouds,100,95,5.8,aban,RU
11.28,-15.83,28.62,clear sky,0,73,4.06,bubaque,GW
54.77,-101.86,-10.57,light snow,100,96,4.01,flin flon,CA
13.78,124.39,29.39,broken clouds,80,65,2.78,gigmoto,PH
39.51,-121.56,18.96,clear sky,1,32,2.6,oroville,US
56.91,118.26,-11.43,overcast clouds,100,84,0.26,chara,RU
44.05,-123.09,12.69,shower rain,90,93,3.1,eugene,US
29.06,-13.56,21.0,broken clouds,75,73,5.7,teguise,ES
-5.38,27.0,20.18,light rain,99,97,1.66,kongolo,CD
44.02,87.32,2.0,clear sky,0,51,1.0,changji,CN
-24.0,21.75,20.12,clear sky,0,35,5.76,hukuntsi,BW
56.27,54.21,1.89,light rain,100,93,4.24,kambarka,RU
48.01,91.64,2.36,broken clouds,74,69,1.73,hovd,MN
-21.57,21.78,22.35,clear sky,0,26,4.25,ghanzi,BW
-34.85,138.6,17.46,few clouds,20,39,7.2,enfield,AU
-2.1,-56.49,25.73,light rain,99,80,1.29,terra santa,BR
66.42,112.4,-19.0,light snow,90,91,2.0,udachnyy,RU
32.35,-85.2,14.71,clear sky,1,93,2.1,russell,US
31.65,-106.3,21.33,clear sky,5,12,5.1,socorro,US
49.78,-74.85,1.0,mist,90,100,3.1,chapais,CA
32.22,-98.2,17.47,clear sky,1,77,3.43,stephenville,US
61.58,-149.44,-9.05,overcast clouds,90,61,0.54,wasilla,US
44.38,25.35,8.63,overcast clouds,90,93,0.5,silistea,RO
46.47,-120.67,8.76,overcast clouds,90,76,1.81,yakima,US
-28.24,-48.67,17.0,scattered clouds,40,67,4.1,imbituba,BR
33.14,-117.17,21.15,clear sky,1,56,2.1,san marcos,US
5.14,-5.02,26.19,overcast clouds,100,85,3.26,grand-lahou,CI
53.04,16.46,8.33,overcast clouds,100,86,3.58,trzcianka,PL
8.88,11.37,24.53,scattered clouds,43,36,1.63,jalingo,NG
-32.72,152.15,19.07,light rain,40,52,8.7,nelson bay,AU
6.95,1.17,24.83,broken clouds,83,85,1.63,notse,TG
51.62,73.1,2.61,overcast clouds,90,73,7.39,ereymentau,KZ
36.9,-104.44,10.04,clear sky,1,32,2.79,raton,US
-5.32,119.37,30.77,light rain,25,61,2.2,galesong,ID
66.97,30.35,0.0,overcast clouds,92,94,1.79,alakurtti,RU
4.6,11.26,20.18,overcast clouds,98,97,0.16,ombessa,CM
61.67,96.37,-18.44,clear sky,0,86,1.55,baykit,RU
28.5,81.13,21.67,clear sky,0,89,0.45,tikapur,NP
-17.83,-149.27,23.0,shower rain,75,94,4.1,teahupoo,PF
5.56,95.32,29.14,broken clouds,66,66,1.22,banda aceh,ID
44.37,-100.35,17.0,clear sky,1,29,3.1,pierre,US
-27.8,-64.26,23.22,clear sky,0,33,3.98,santiago del estero,AR
-29.66,22.75,15.97,overcast clouds,95,57,3.89,prieska,ZA
-3.41,-39.03,26.67,scattered clouds,39,75,8.05,paracuru,BR
2.62,44.89,24.64,clear sky,8,88,1.17,wanlaweyn,SO
1.0,-52.0,22.84,overcast clouds,100,97,0.55,amapa,BR
68.56,14.91,5.06,overcast clouds,100,81,4.02,stokmarknes,NO
7.77,-72.22,19.27,light rain,28,90,0.63,san cristobal,VE
59.04,52.36,2.99,light rain,100,89,4.45,peskovka,RU
-32.55,115.7,24.48,clear sky,8,47,7.7,mandurah,AU
55.1,80.96,1.24,overcast clouds,94,93,4.02,chulym,RU
4.75,-72.54,24.28,overcast clouds,99,88,1.51,ubala,CO
36.42,54.98,10.05,clear sky,5,44,1.23,shahrud,IR
-2.47,28.82,16.24,overcast clouds,96,82,0.84,kabare,CD
44.06,-103.15,15.33,clear sky,1,30,2.94,rapid valley,US
22.69,58.53,18.98,clear sky,0,54,0.96,ibra,OM
-8.57,32.05,17.03,broken clouds,84,64,1.11,laela,TZ
-0.95,100.35,29.22,overcast clouds,99,63,0.78,padang,ID
-14.9,50.28,23.54,light rain,42,87,2.58,antalaha,MG
45.52,-122.68,9.74,overcast clouds,90,87,2.1,portland,US
-10.07,-78.15,16.2,clear sky,2,86,2.91,huarmey,PE
9.29,105.72,29.02,light rain,0,71,1.6,bac lieu,VN
65.85,44.24,2.7,overcast clouds,100,97,2.19,mezen,RU
8.68,-8.63,19.84,light rain,9,92,0.78,beyla,GN
70.86,29.09,4.85,broken clouds,64,81,4.13,berlevag,NO
-14.24,31.33,20.78,clear sky,0,48,2.21,petauke,ZM
15.85,-97.07,26.0,broken clouds,75,78,1.5,puerto escondido,MX
13.6,26.69,21.52,few clouds,22,24,6.85,umm kaddadah,SD
-3.77,-70.38,25.0,moderate rain,75,100,2.6,puerto narino,CO
41.8,-85.42,11.11,clear sky,1,76,3.1,sturgis,US
46.53,21.25,7.03,broken clouds,75,93,1.5,elek,HU
36.15,-86.78,11.71,broken clouds,75,66,2.6,davidson,US
-0.88,131.25,29.2,light rain,100,71,3.3,sorong,ID
-8.76,-35.1,25.21,scattered clouds,50,86,3.27,tamandare,BR
33.67,-95.58,15.89,overcast clouds,90,88,2.6,lamar,US
